customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5636-EIWAX,Female,0,Yes,Yes,4,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Electronic check,68.37,268.71,No
1944-AQDOJ,Male,0,Yes,No,34,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.17,2074.68,No
6521-FXEJA,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,99.26,3458.94,No
1074-SDTBX,Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),22.35,1006.57,No
3502-NSRCO,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,88.12,369.86,Yes
6104-CUWAM,Male,0,Yes,No,67,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),62.69,4161.73,No
7108-GCHUL,Female,0,No,No,65,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,62.76,4079.91,Yes
3412-DGIQA,Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,91.11,5818.9,No
6490-SEEHN,Male,0,Yes,Yes,27,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,81.2,2232.24,No
5088-CHJCW,Female,0,No,No,17,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,67.41,1106.08,No
7143-QVSGP,Male,1,No,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.74,4754.74,Yes
4144-IOPLN,Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),88.34,1066.31,No
8235-GRXZY,Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,94.41,760.42,Yes
1653-AZZPA,Female,0,Yes,Yes,10,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,85.73,876.35,Yes
6800-FEMUD,Male,0,No,No,69,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.43,5231.76,No
6859-WFOXV,Female,0,No,No,35,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),100.91,3497.36,Yes
2214-NMNBM,Male,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.92,928.51,Yes
3667-YCONZ,Female,1,Yes,Yes,4,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),67.14,282.5,No
9344-LWJCK,Male,0,No,No,15,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,64.23,918.85,No
7882-HDAEW,Female,0,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),87.87,159.6,No
8184-ITHUO,Female,1,Yes,No,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),110.01,0.0,No
5932-NQLGB,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.44,452.9,No
5703-NJMEN,Female,1,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,84.46,662.06,Yes
7281-MTTYZ,Male,0,Yes,No,36,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.36,1787.96,No
8433-ZPEND,Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,97.12,93.58,Yes
1636-MCBTB,Male,0,No,No,72,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),61.52,4454.69,No
8661-GJWYH,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),93.15,1765.27,No
9810-RBJDL,Female,0,Yes,No,61,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.56,6481.3,No
3947-MOCGX,Male,0,Yes,Yes,53,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.24,3184.73,Yes
8771-DDIFN,Male,0,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,55.21,85.54,No
4568-IQHIK,Male,0,No,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),82.93,409.42,No
1544-FPZNX,Female,1,No,No,33,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),59.51,1941.05,No
8588-DEDYD,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),94.15,390.72,Yes
1660-LVWRN,Male,0,Yes,Yes,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,42.41,240.56,No
6657-LXMPF,Male,0,No,No,45,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,82.54,3711.65,No
5333-LRCJO,Female,0,Yes,No,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.31,1114.22,Yes
5434-FSWXC,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.82,347.8,No
1673-KHNBZ,Male,0,Yes,Yes,67,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),54.09,3586.93,No
4057-WCDAF,Female,0,Yes,Yes,15,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,97.07,1439.93,No
3339-OYMKK,Female,0,Yes,No,70,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,90.17,6316.78,No
6394-DYPJJ,Male,1,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,87.23,689.99,No
5129-UDBVN,Male,1,Yes,No,19,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,89.86,1713.59,Yes
8606-CGJJB,Female,0,Yes,No,16,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.32,1191.5,Yes
5284-IZRNJ,Female,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,29.17,1159.04,No
9722-IULQD,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,91.12,4970.48,No
2572-LOMMU,Male,0,No,No,43,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,79.83,3428.09,No
4211-EUBNE,Male,0,No,No,0,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.41,9.49,Yes
5969-WOMQZ,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.45,5700.98,No
1908-MCIZN,Female,1,Yes,Yes,12,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),101.18,1220.44,No
5820-PDZOR,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,92.1,2870.79,No
9570-OTYCG,Female,0,Yes,Yes,16,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,59.49,956.85,No
1123-VDQLT,Male,0,Yes,Yes,19,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),71.66,1377.62,No
4186-CSITU,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.29,1877.76,No
2916-JSIIX,Male,0,Yes,Yes,25,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,51.3,1257.63,No
8068-DNTYL,Male,0,No,No,27,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),99.74,2721.47,Yes
6994-BYQJB,Female,1,No,No,65,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,52.17,3389.9,No
2033-INLYY,Female,0,Yes,Yes,43,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),64.39,2770.6,No
4036-GXWBI,Female,0,No,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),32.88,1831.03,No
4193-WGRIC,Male,1,No,Yes,12,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,92.29,1097.78,No
9750-LQWBJ,Female,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.75,671.07,No
5821-LKJMG,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,25.73,115.64,No
5204-AXTHH,Female,0,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,98.33,2363.72,Yes
4242-IXXKI,Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,81.69,728.33,No
2681-HHMLE,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.28,187.95,No
9981-AAARH,Male,0,No,No,66,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,105.61,6970.86,No
6092-GMTLD,Female,0,Yes,No,66,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),65.87,4327.74,No
8684-FBBAL,Female,0,No,No,72,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,61.93,4454.31,No
4642-RMTJS,Female,0,Yes,Yes,5,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,70.24,340.78,No
8706-KFYII,Male,0,Yes,No,15,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),83.32,1231.53,Yes
8791-RLEQK,Male,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.7,113.22,No
5661-TXRXF,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.45,536.86,No
2141-OASDY,Female,0,Yes,No,53,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,78.43,4149.05,No
6730-JHYMD,Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.06,943.17,No
6131-ROTNN,Female,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,21.16,1249.57,No
5582-OLWNU,Female,0,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,22.38,331.38,No
7894-LSOMF,Male,0,Yes,Yes,55,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,98.15,5393.62,No
6981-BYJJY,Male,1,Yes,Yes,57,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,92.54,5278.3,Yes
8173-TUOGB,Male,1,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),92.73,6693.25,No
2113-VQNEV,Female,0,Yes,No,16,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),105.48,1681.54,Yes
1494-IJZPW,Male,0,No,No,6,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),60.32,348.49,No
7608-OHSGD,Female,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),88.1,1051.18,Yes
7880-MOKNW,Male,0,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,89.42,4939.61,No
7352-XSEJU,Male,0,No,No,71,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,65.14,4636.96,Yes
6339-QDICW,Male,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),82.75,904.45,Yes
2860-DQNPQ,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),93.99,178.91,No
8843-IRHYP,Male,1,No,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),88.5,167.65,Yes
2330-QBWML,Male,1,No,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.51,687.57,No
1093-KXAJY,Female,0,Yes,Yes,25,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),77.32,1960.14,Yes
1165-UYNIU,Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),95.08,104.02,Yes
8582-TQHUF,Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,96.21,6146.05,No
8434-HJEUU,Male,0,No,Yes,63,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,79.92,5053.72,No
8245-GXJQX,Female,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,108.94,466.05,Yes
2888-TBVMZ,Male,0,No,No,7,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),101.58,691.4,Yes
5843-CHZBQ,Female,1,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),117.09,207.88,No
6044-KZDNU,Male,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),102.2,5882.47,Yes
2514-SBLPW,Female,1,No,No,21,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),47.8,994.61,No
2664-SGCQH,Male,0,Yes,Yes,5,No,No phone service,DSL,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,55.82,266.75,No
8918-NYNQK,Female,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,90.92,3354.16,No
3939-NFSUC,Female,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),98.08,876.76,No
6829-STFDW,Female,0,Yes,No,2,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,79.69,169.33,No
8579-ZMWVM,Male,0,No,No,2,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),63.41,126.81,No
9164-MDVYE,Female,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,95.8,3715.11,No
7844-TKMMS,Female,1,No,No,5,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),60.73,310.31,No
5329-YFYWU,Female,0,Yes,Yes,16,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,66.95,1098.16,No
6998-WMMWF,Female,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.64,1340.47,No
3788-SAGSU,Male,1,Yes,No,16,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.2,733.91,No
3419-VOAZJ,Female,0,Yes,Yes,41,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),63.97,2613.55,No
7795-KYJKN,Female,0,No,No,14,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),58.99,825.7,No
4802-UWPCW,Female,0,No,Yes,35,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,60.82,2116.6,No
4529-TGFSW,Male,1,No,No,72,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,83.62,5985.64,No
2586-VULBU,Male,0,Yes,No,11,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.22,566.28,Yes
4935-SPJKF,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.82,330.9,No
7475-FTHVA,Male,0,No,Yes,11,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,76.0,846.92,No
8112-RBUYB,Male,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.23,631.35,No
1410-OTLQV,Female,0,No,No,54,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),73.26,3974.05,Yes
6533-HZXUQ,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.67,571.5,No
5762-WLZWQ,Female,0,No,Yes,18,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),87.61,1552.58,No
9485-RFTLG,Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,91.23,5655.1,No
2313-BGHPB,Female,1,Yes,Yes,62,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.16,6091.54,No
6457-SEWJZ,Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),91.35,700.46,No
9330-NWWXF,Male,0,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),98.24,1536.37,No
1257-TOMEE,Male,0,Yes,No,50,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),70.31,3491.53,No
1502-AGMEC,Male,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,28.74,1972.1,No
2206-DCQOZ,Male,0,No,No,30,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,66.47,1992.05,No
4119-DOEHS,Male,0,Yes,Yes,69,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,63.9,4394.6,No
8326-FXYGM,Female,1,Yes,Yes,30,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,71.63,2170.14,No
2084-VFZOI,Male,0,No,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,91.91,4964.05,Yes
7341-ZXKUO,Male,0,No,No,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.02,538.6,No
5082-QLCXC,Male,0,No,No,2,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),77.61,157.64,Yes
5221-BTTWB,Female,0,No,No,14,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,65.74,924.24,No
3154-FBNFZ,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.06,639.74,Yes
3995-SAXWV,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,64.54,3157.1,No
8851-SIKJP,Female,1,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.3,566.83,No
2258-KSXGU,Female,0,No,No,5,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),67.45,381.92,No
3381-EYVAA,Female,0,No,No,16,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),79.82,1287.33,No
8732-VOPNM,Male,0,Yes,No,6,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),48.57,287.06,No
3871-GXNPU,Female,0,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),78.52,1955.62,No
7230-GCRND,Female,0,Yes,No,68,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,61.75,4196.26,No
1517-ZUHTK,Female,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.58,5627.69,No
2086-DQUKD,Male,0,No,No,67,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),94.47,6302.15,Yes
8767-OHAIS,Female,0,No,No,7,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,52.57,319.89,No
7843-GYFQD,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.74,587.05,No
1079-JLULV,Female,0,Yes,Yes,59,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,100.41,5952.56,No
8377-YEIYW,Female,1,No,No,9,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),49.9,463.86,No
4344-SSDPS,Male,1,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,84.78,1694.74,Yes
4528-FZGRI,Female,0,No,No,58,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,75.35,4391.22,No
3792-SGYTB,Male,0,No,Yes,66,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,92.22,6084.78,No
4643-TJKGG,Female,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.76,1173.59,No
8077-BUQPR,Male,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.23,137.01,No
5419-BDYLN,Male,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.75,154.49,No
9588-QGUNS,Female,0,No,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),106.92,1405.19,No
3912-DPLTZ,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.03,133.92,Yes
4343-NTKVI,Female,1,Yes,No,34,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,81.02,2750.82,Yes
1616-CBWMU,Female,0,No,No,59,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),71.34,4256.89,No
2608-DQAWE,Female,0,No,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),99.18,7127.34,No
1051-STHIE,Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),84.95,4681.33,No
3216-DTUOS,Female,0,Yes,No,15,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,67.8,1001.39,No
7503-MDNXH,Female,0,No,No,9,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),101.7,880.11,No
2671-BLDRF,Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.9,292.83,No
3763-ROFLA,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.67,287.23,Yes
3640-QQAJY,Male,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,105.71,418.57,Yes
3510-UKQTJ,Male,0,Yes,No,17,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,47.15,772.13,No
7094-ICTTT,Male,0,Yes,Yes,62,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.25,1128.25,No
4397-EWIOS,Female,0,No,No,8,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Mailed check,88.8,713.11,No
4129-ZIMEM,Female,0,No,No,13,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.67,957.73,Yes
4652-SYUHS,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.06,1445.23,No
5821-FPEVA,Male,1,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.42,268.42,No
8263-DNRPE,Female,0,No,No,5,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,73.14,333.97,No
2124-JJHDW,Female,1,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.1,37.33,Yes
9372-MTYAE,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),97.61,95.02,Yes
3459-TNLOU,Male,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),96.77,3202.05,No
8019-ZDWHX,Female,0,No,No,34,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,57.92,1982.13,No
8025-SDQAG,Female,0,Yes,No,67,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),108.59,7291.7,No
